p,f,beta,attack_rate,attack_rate_patient,attack_rate_nurse
0.0,0.0,100.0,0.078,0.0,0.078
0.0,0.0,250.0,0.206,0.008,0.198
0.0,0.0,500.0,0.46,0.017,0.443
0.0,0.0,1000.0,0.94,0.089,0.851
0.0,0.0,2500.0,2.767,0.45,2.317
0.0,0.0,5000.0,6.987,1.606,5.381
0.0,0.0,10000.0,15.981,4.52,11.461
0.0,0.0,25000.0,38.961,13.351,25.61
0.0,0.0,50000.0,61.066,22.79,38.276
0.0,0.0,100000.0,73.164,28.631,44.533
1.0,0.0,100.0,0.368,0.251,0.117
1.0,0.0,250.0,0.696,0.433,0.263
1.0,0.0,500.0,1.396,0.729,0.667
1.0,0.0,1000.0,2.371,1.061,1.31
1.0,0.0,2500.0,6.164,2.153,4.011
1.0,0.0,5000.0,11.995,4.183,7.812
1.0,0.0,10000.0,24.047,8.61,15.437
1.0,0.0,25000.0,53.381,20.29,33.091
1.0,0.0,50000.0,71.507,28.046,43.461
1.0,0.0,100000.0,81.031,32.424,48.607
